CAS_NUMBER	ID	COMPOUND_CODE	COMPOUND_NAME	FMLA	MOLECULAR_WEIGHT	KOWLOGP	STRUCTURECATEGORY	SMILES	AUTHORS	JOURNAL	PUBLICATION_DATE	VOLUME_NUMBER	START_PAGE	SOURCE_URL	ASSAY_CLASS_NAME	ASSAY_NAME	SPECIES_STRAIN	ENDPOINT_NAME	ENDPOINT_VALUE	ENDPOINT_UNIT	PROTEIN_SUBTYPE	PROTEIN_DOMAIN	ROUTE_OF_COMPOUND
50-28-2	1	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O			2002			http://iccvam.niehs.nih.gov/methods/endocrine/end_bckgnd.htm	Binding	In vitro ER binding assays using MCF-7 Cells	Human	logRBA	2				
50-28-2	2	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O			2002			http://iccvam.niehs.nih.gov/methods/endocrine/end_bckgnd.htm	Binding	In vitro ER binding assays using MCF-7 Cytosol	Human	logRBA	2				
50-28-2	3	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Soto AM, Sonnenschein C, Chung KL, Fernandez MF, Olea N, Serrano FO.	Environ. Health Perspect. 	1995	103	113		Binding	Relative binding affinity (RBA) for estrogen receptor compared to E2	Human	logRBA	2				
50-28-2	4	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Ruenitz PC, Arrendale RF, Schmidt WF, Thompson CB, Nanavati NT.	J. Med. Chem.	1989	32	192		Binding	Relative binding affinity for estrogen receptor compared to estradiol	Human	logRBA	2				
50-28-2	5	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Fang H, Tong W, Shi LM, Blair R, Perkins R, Branham W, Hass BS, Xie Q, Dial SL, Moland CL, Sheehan DM.	Chem. Res. Toxicol.	2001	14	280		Binding	 In vitro ER binding assays using Rat uterine cytosol	Rat	logRBA	2				
50-28-2	6	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Salman M, Ray S, Anand N, Agarwal AK, Singh MM, Setty BS, Kamboj VP.	J. Med. Chem.	1986	29	1801		Binding	Relative binding affinity for uterine cytosolic estrogen receptors of immature rats	Rat	logRBA	2				
50-28-2	7	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Blair RM, Fang H, Branham WS, Hass BS, Dial SL, Moland CL, Tong W, Shi L, Perkins R, Sheehan DM.	Toxicol. Sci. 	2000	54	138		Binding	relative binding affinity (RBA) for ER competitive-binding assays	Rat	logRBA	2				
50-28-2	8	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O		Bioorg. Med. Chem. Lett.	1996	6	2537		Binding	Relative binding affinity for rat uterine estrogen receptor	Rat	logRBA	2				
50-28-2	9	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Laws SC, Yavanhxay S, Cooper RL, Eldridge JC.	Toxicol. Sci. 	2006	94	46		Binding	rat uterine cytosolic (RUC) ER-competitive binding assay	Rat	logRBA	2				
50-28-2	10	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O			2002			http://iccvam.niehs.nih.gov/methods/endocrine/end_bckgnd.htm	Binding	 In vitro ER binding assays using Mouse uterine cytosol	Mouse	logRBA	2				
50-28-2	11	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Waller CL, Minor DL, McKinney JD.	Environ. Health Perspect. 	1995	103	702		Binding	Competitive binding concentration of unlabeled inhibitor yielding half-maximal specific binding relative to estradiol	Mouse	logRBA	2				
50-28-2	12	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Waller CL, Oprea TI, Chae K, Park HK, Korach KS, Laws SC, Wiese TE, Kelce WR, Gray LE Jr.	Chem. Res. Toxicol. 	1996	9	1240		Binding	Competitive estrogen receptor binding assays using mouse uterine cytosol	Mouse	logRBA	2				
50-28-2	13	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Walter G, Liebl R, von Angerer E.	Bioorg. Med. Chem. Lett.	2004	14	4659		Binding	Relative binding affinity for Estrogen receptor of Calf uterine cytosol	Cattle	logRBA	2				
50-28-2	14	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Delbarre A, Oberlin R, Roques BP, Borgna JL, Rochefort H, Le Pecq JB, Jacquemin-Sablon A.	J. Med. Chem.	1985	28	752		Binding	The compound was tested for relative binding affinity against calf uterine receptor using [3H]estradiol as radioligand	Cattle	logRBA	2				
50-28-2	15	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O			2002			http://iccvam.niehs.nih.gov/methods/endocrine/end_bckgnd.htm	Binding	 In vitro ER binding assays using Glutathione-S-transferase fusion proteins consisting of the def domains of the lizard (anole)	Lizard	logRBA	2			LBD	
50-28-2	16	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O			2002			http://iccvam.niehs.nih.gov/methods/endocrine/end_bckgnd.htm	Binding	 In Vitro ER Binding Assays Glutathione-S-transferase fusion protein containing the ligand binding domain of the chicken estrogen receptor	Chicken	logRBA	2			LBD	
50-28-2	17	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O			2002			http://iccvam.niehs.nih.gov/methods/endocrine/end_bckgnd.htm	Binding	 In Vitro ER Binding Assays Glutathione-S-transferase fusion protein containing the ligand binding domain of the rainbow trout estrogen receptor	Trout	logRBA	2			LBD	
50-28-2	18	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Jurgensen AS, Jacobsen P, Christiansen LB, Bury PS, Kanstrup A, Thorpe SM, Naerum L, Wassermann K.	Bioorg. Med. Chem. Lett.	2000	10	2383		Binding	Estrogen receptor binding affinity by displacement of [3H]17-beta-estradiol in ER-rich cytosol from rabbit uterine tissue	Rabbit	logRBA	2		alpha		
50-28-2	19	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Jurgensen AS, Jacobsen P, Christiansen LB, Bury PS, Kanstrup A, Thorpe SM, Bain S, Naerum L, Wassermann K.	Bioorg. Med. Chem. Lett.	2000	10	399		Binding	Binding affinity for estrogen receptor of rabbit uterine skeletal muscle tissue	Rabbit	logRBA	2		alpha		
50-28-2	20	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Henke BR, Drewry DH, Jones SA, Stewart EL, Weaver SL, Wiethe RW.	Bioorg. Med. Chem. Lett.	2001	11	1939		Binding	Ability to displace [3H]17-beta-estradiol from Estrogen receptor alpha by scintillation proximity assay.		logRBA	2		alpha		
50-28-2	21	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Adamczyk M, Reddy RE, Yu Z.	Bioorg. Med. Chem. Lett.	2002	12	1283		Binding	Displacement of radioligand from Estrogen receptor alpha		logRBA	2		alpha		
50-28-2	22	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Smith RA, Chen J, Mader MM, Muegge I, Moehler U, Katti S, Marrero D, Stirtan WG, Weaver DR, Xiao H, Carley W.	Bioorg. Med. Chem. Lett.	2002	12	2875		Binding	Binding affinity for Estrogen receptor alpha (ER alpha) receptor		logRBA	2		alpha		
50-28-2	23	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Christiansen LB, Wenckens M, Bury PS, Gissel B, Hansen BS, Thorpe SM, Jacobsen P, Kanstrup A, Jurgensen AS, Naerum L, Wassermann K.	Bioorg. Med. Chem. Lett.	2002	12	17		Binding	Displacement of [3H]17-beta-estradiol from Estrogen receptor of rabbit uterine tissue	Rabbit	logRBA	2		alpha		
50-28-2	24	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	McKie JA, Bhagwat SS, Brady H, Doubleday M, Gayo L, Hickman M, Jalluri RK, Khammungkhune S, Kois A, Mortensen D, Richard N, Sapienza J, Shevlin G, Stein B, Sutherland M.	Bioorg. Med. Chem. Lett.	2004	14	3407		Binding	Binding affinity against estrogen receptor alpha relative to E2		logRBA	2		alpha		
50-28-2	25	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Yang W, Wang Y, Ma Z, Golla R, Stouch T, Seethala R, Johnson S, Zhou R, GÃ¼ngr T, Feyen JH, Dickson JK Jr.	Bioorg. Med. Chem. Lett.	2004	14	2327		Binding	Binding affinity towards estrogen receptor alpha by [3H]17-beta-estradiol displacement.		logRBA	2		alpha		
50-28-2	26	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Sharma U, Marquis JC, Nicole Dinaut A, Hillier SM, Fedeles B, Rye PT, Essigmann JM, Croy RG.	Bioorg. Med. Chem. Lett.	2004	14	3829		Binding	Relative binding affinity for rabbit uterine estrogen receptor compared to estradiol	Rabbit	logRBA	2		alpha		
50-28-2	27	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Compton DR, Carlson KE, Katzenellenbogen JA.	Bioorg. Med. Chem. Lett.	2004	14	5681		Binding	Binding affinity for Estrogen receptor alpha compared to estradiol (100%)		logRBA	2		alpha		
50-28-2	28	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Ahmed N, Dubuc C, Rousseau J, BÃ©nard F, van Lier JE.	Bioorg. Med. Chem. Lett.	2007	17	3212		Binding	Relative binding affinity for ERalpha by competitive [3H]estradiol binding assay relative to estradiol		logRBA	2		alpha		
50-28-2	29	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Kishton RJ, Miller SE, Perry H, Lynch T, Patel M, Gore VK, Akkaraju GR, Varadarajan S.	Bioorg. Med. Chem.	2011	19	5093		Binding	Binding affinity to estrogen receptor-alpha after 2 hrs by TR-FRET assay		logRBA	2		alpha		
50-28-2	30	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Peters RH, Crowe DF, Avery MA, Chong WK, Tanabe M.	J. Med. Chem.	1989	32	1642		Binding	Displacement of [3H]estradiol from estrogen receptor in squirrel monkey	Monkey	logRBA	2		alpha		
50-28-2	31	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Peters RH, Crowe DF, Avery MA, Chong WK, Tanabe M.	J. Med. Chem.	1989	32	1642		Binding	Displacement of [3H]estradiol from estrogen receptor in immature rabbit	Rabbit	logRBA	2		alpha		
